"emp_no","dept_name","last_name","first_name"
11493,"Sales","Sevcikova","Shen"
11495,"Sales","Barriga","Shin"
11506,"Sales","Picel","Rance"
11515,"Sales","Basawa","Ulf"
11519,"Sales","Chinen","Halsur"
11521,"Sales","Eastman","Eldridge"
11530,"Sales","Jarecki","Oscar"
11535,"Sales","Ohori","Aemilian"
11537,"Sales","Pehl","DAIDA"
11546,"Sales","Vuskovic","Duro"
11547,"Sales","Flexer","Kyoichi"
11552,"Sales","Ferretti","Tommaso"
11556,"Sales","Hashii","Masasuke"
11557,"Sales","Pesch","Candido"
11567,"Sales","Mitzlaff","Teiji"
11579,"Sales","Merel","Jinxi"
11586,"Sales","Orsini","Shridhar"
11594,"Sales","Butner","Pradeep"
11601,"Sales","Ritzmann","Erez"
11609,"Sales","Marrakchi","Sigeru"
11611,"Sales","Mateescu","Annemarie"
11615,"Sales","Isaak","Shem"
11618,"Sales","Juneja","Gian"
11619,"Sales","Ozeki","Taiji"
11621,"Sales","Baaleh","Ottavia"
11632,"Sales","Bach","Baoqiu"
11659,"Sales","Pileggi","Tremaine"
11660,"Sales","Stenning","Gill"
11662,"Sales","Hofting","Mokhtar"
11663,"Sales","Trumbly","Maria"
11664,"Sales","Brizzi","Oksana"
11666,"Sales","Chimia","Uno"
11668,"Sales","Wursthorn","Hiroyasu"
11671,"Sales","Babu","Pranjal"
11672,"Sales","Businaro","Munir"
11680,"Sales","Iwayama","Aral"
11688,"Sales","Coullard","Denis"
11696,"Sales","Rothe","Dante"
11698,"Sales","Azevdeo","Arun"
11706,"Sales","Remmers","Tesuya"
11708,"Sales","Angot","Chenye"
11715,"Sales","Albarhamtoshy","Arnd"
11717,"Sales","Chaudhury","Mona"
11718,"Sales","Marshall","Richard"
11720,"Sales","Heusch","Abdulla"
11723,"Sales","Bauknecht","Halsur"
11728,"Sales","Makrucki","Serge"
11729,"Sales","Engberts","Xiong"
11730,"Sales","Delaune","Tzu"
11740,"Sales","Pero","Isaac"
11746,"Sales","Marrakchi","Koichi"
11747,"Sales","Kossowski","Aksel"
11753,"Sales","Nishimukai","Fayez"
11773,"Sales","Lorys","Naftaly"
11781,"Sales","Pluym","Tua"
11785,"Sales","Kalsbeek","Hongzhu"
11797,"Sales","Thambidurai","Chenxi"
11801,"Sales","Dayang","Tommaso"
11811,"Sales","Boissier","Herb"
11813,"Sales","Muhlberg","Gita"
11817,"Sales","Markovitch","Niranjan"
11828,"Sales","Paciorek","Mikhail"
11830,"Sales","Snedden","Maya"
11838,"Sales","Nitta","Taiji"
11840,"Sales","Hofman","Jayson"
11849,"Sales","Homond","Chenye"
11850,"Sales","Maginnis","Bikash"
11852,"Sales","Yurek","Zhongwei"
11857,"Sales","Farrag","Divier"
11859,"Sales","Muhlberg","Ipke"
11873,"Sales","Reeken","Venkatesan"
11874,"Sales","Motley","Baoqiu"
11880,"Sales","Esposito","Akeel"
11881,"Sales","Staelin","Arra"
11882,"Sales","Manders","Zhonghua"
11884,"Sales","Moehrke","Patricia"
11890,"Sales","Kirkerud","Remmert"
11892,"Sales","Lorys","Tesuro"
11897,"Sales","Setlzner","Cordelia"
11904,"Sales","Flasterstein","DeForest"
11908,"Sales","Iisaku","Candida"
11927,"Sales","Aingworth","Mana"
11936,"Sales","Jonsson","Oddvar"
11941,"Sales","Cyre","Gaurav"
11946,"Sales","Maraist","Charlene"
11947,"Sales","Lortz","Kiyomitsu"
11961,"Sales","Birdsall","Sumant"
11962,"Sales","Erde","Niranjan"
11964,"Sales","Norsworthy","Tzu"
11966,"Sales","Rotem","Poornachandra"
11969,"Sales","Lorcy","Sibyl"
11980,"Sales","Pews","Yechezkel"
12011,"Sales","Coorg","Zhilian"
12012,"Sales","Zolotykh","Syozo"
12013,"Sales","Vidya","Baziley"
12026,"Sales","Pleszkun","Moon"
12034,"Sales","Piazza","Aemilian"
12036,"Sales","Ratzlaff","Mads"
12046,"Sales","Ranum","Xiong"
12054,"Sales","Braccini","Odysseas"
12067,"Sales","Kalsbeek","Doowon"
12076,"Sales","Siprelle","Karlis"
12080,"Sales","Feinberg","Panayotis"
12082,"Sales","Yamaashi","Xinan"
12097,"Sales","Serdy","Mostafa"
12098,"Sales","Eugenio","Pranay"
12099,"Sales","Kuzuoka","Nobuyoshi"
12100,"Sales","Beznosov","Nevio"
12102,"Sales","Erde","Aron"
12113,"Sales","DeMori","Larisa"
12119,"Sales","Peot","Sachin"
12128,"Sales","Barreiro","Yannik"
12129,"Sales","Isaac","Hairong"
12146,"Sales","Garnick","Urs"
12149,"Sales","Grandbois","Suebskul"
12160,"Sales","Garrabrants","Aamer"
12178,"Sales","Chinal","Miyeon"
12184,"Sales","Zhang","Chenxi"
12189,"Sales","Redmiles","Berni"
12199,"Sales","Poupard","Huan"
12213,"Sales","Brizzi","Kwangho"
12224,"Sales","Lenart","Nikolaus"
12225,"Sales","Narahara","Yongqiao"
12229,"Sales","Pfau","Howell"
12232,"Sales","Ratnakar","Subhankar"
12234,"Sales","Rosar","Miomir"
12235,"Sales","Haumacher","Honesty"
12237,"Sales","Ballarin","Chikara"
12253,"Sales","Gimarc","Amabile"
12259,"Sales","Hofting","Juichirou"
12261,"Sales","Hardjono","Udi"
12273,"Sales","Uehara","Jaideep"
12284,"Sales","Khasidashvili","Hatim"
12290,"Sales","Braccini","Jeanne"
12291,"Sales","Koyama","Masamitsu"
12294,"Sales","Heydon","Arch"
12295,"Sales","Lammel","Weicheng"
12296,"Sales","Garnier","Kendra"
12297,"Sales","Krone","Yoshimitsu"
12301,"Sales","Akazan","Oksana"
12306,"Sales","Menyhert","Suvo"
12318,"Sales","Vesna","Jingling"
12321,"Sales","Schicker","Heekeun"
12325,"Sales","Randt","Alassane"
12330,"Sales","Eugenio","Oguz"
12349,"Sales","Denos","Yannik"
12358,"Sales","Syrotiuk","Achilleas"
12373,"Sales","Driscoll","Mooi"
12390,"Sales","Kilgour","Kwangsub"
12393,"Sales","Uhrig","Soenke"
12398,"Sales","Solovay","Arif"
12399,"Sales","Luga","Mihalis"
12400,"Sales","Winter","Genki"
12411,"Sales","Ibel","Shao"
12412,"Sales","Peres","Chaitali"
12414,"Sales","Kruskal","Kish"
12415,"Sales","Sluis","Uri"
12430,"Sales","Feldmann","Kristine"
12435,"Sales","Gadepally","Marek"
12438,"Sales","Mondadori","Yongmao"
12448,"Sales","Salverda","Honglan"
12454,"Sales","Farris","Kerryn"
12457,"Sales","Pettis","Olivera"
12460,"Sales","Gerlach","Jingling"
12464,"Sales","Milicic","Shai"
12478,"Sales","Hopewell","Yahiko"
12491,"Sales","Gruenwald","Cullen"
12497,"Sales","Penz","Stein"
12499,"Sales","Lamba","Izaskun"
12505,"Sales","Goldhammer","Barton"
12513,"Sales","Vesna","Niteen"
12521,"Sales","Ranka","Geoffry"
12523,"Sales","Casley","Tonia"
12537,"Sales","Gonthier","Avishai"
12541,"Sales","Nanard","Shih"
12552,"Sales","Zongker","Mechthild"
12560,"Sales","Makinen","Leszek"
12565,"Sales","Mullainathan","Theron"
12567,"Sales","DasSarma","Horward"
12575,"Sales","Merel","Sadok"
12582,"Sales","Herath","Saniya"
12590,"Sales","Rosenbaum","Gita"
12591,"Sales","Makrucki","Georgy"
12593,"Sales","Melter","Lubomir"
12595,"Sales","Morrey","Yaghout"
12598,"Sales","Farrow","Hatem"
12605,"Sales","Feldmann","Petter"
12612,"Sales","Thimonier","Chandrasekaran"
12617,"Sales","Rusterholz","Shawna"
12620,"Sales","Swick","Shahaf"
12622,"Sales","Kobara","Jiafu"
12624,"Sales","Zykh","Zhongwei"
12625,"Sales","Basart","Goo"
12629,"Sales","Siksek","Kensyu"
12640,"Sales","Lindqvist","Shigeo"
12645,"Sales","Decaestecker","Kyoichi"
12651,"Sales","Bael","Pragnesh"
12656,"Sales","Morton","Seshu"
12658,"Sales","Farris","Laurentiu"
12660,"Sales","Escriba","Stamatina"
12664,"Sales","Parveen","Zhonghua"
12673,"Sales","Rajala","Jouni"
12675,"Sales","Krohm","Dekang"
12681,"Sales","Akaboshi","Rosalyn"
12685,"Sales","Openshaw","Siamak"
12687,"Sales","Badache","Weicheng"
12690,"Sales","Mitchem","Valter"
12698,"Sales","Paciorek","Arunas"
12699,"Sales","Setia","Izaskun"
12703,"Sales","Brookner","Luigi"
12704,"Sales","Tetzlaff","Gino"
12705,"Sales","Driscoll","Dung"
12707,"Sales","Zastre","Gregory"
12708,"Sales","Syang","Hatem"
12716,"Sales","Theuretzbacher","Angel"
12720,"Sales","Blokdijk","Spyrose"
12724,"Sales","Lammel","Parke"
12732,"Sales","Takanami","Mara"
12742,"Sales","Bhattacharjee","Supot"
12756,"Sales","Braccini","Mohit"
12759,"Sales","Kuszyk","LiMin"
12761,"Sales","Schaad","Hitofumi"
12766,"Sales","Molberg","Shuji"
12770,"Sales","Benzaken","Maik"
12777,"Sales","Cichocki","Sreenivas"
12781,"Sales","Belinskaya","Bogdan"
12790,"Sales","Perl","Gunilla"
12798,"Sales","Beeson","Lillian"
12800,"Sales","Hettesheimer","Tiina"
12803,"Sales","Boissier","Gad"
12805,"Sales","Itschner","Naraig"
12818,"Sales","Wendorf","Arunas"
12826,"Sales","Mandell","Claude"
12834,"Sales","Krohm","Tadahiro"
12845,"Sales","Baar","Florian"
12858,"Sales","Driscoll","Jianwen"
12862,"Sales","Mullainathan","Hidde"
12870,"Sales","Pfau","Elvis"
12872,"Sales","Schmittgen","Marl"
12873,"Sales","Lorie","Xiaoshan"
12875,"Sales","Validov","Giri"
12880,"Sales","Setia","Fumiya"
12881,"Sales","Yurek","Huai"
12886,"Sales","Liesche","Aimee"
12890,"Sales","Casley","Neven"
12893,"Sales","Crouzet","Licheng"
12894,"Sales","Stafford","Heng"
12902,"Sales","Perng","Rimli"
12903,"Sales","Salverda","Radhika"
12909,"Sales","Lamba","Dipankar"
12915,"Sales","Ligten","Arco"
12917,"Sales","Remmele","Sergi"
12919,"Sales","Cooley","Owen"
12922,"Sales","Porenta","Jacqueline"
12931,"Sales","Hutton","Spyrose"
12943,"Sales","Zucker","Kazuhide"
12951,"Sales","Keirsey","Mohammad"
12954,"Sales","Walston","Dinkar"
12955,"Sales","England","Eckart"
12962,"Sales","Beerel","Paraskevi"
12964,"Sales","Bennis","Hidefumi"
12969,"Sales","Angot","Mohan"
12974,"Sales","Frolund","Gift"
12976,"Sales","Szmurlo","Alejandro"
12985,"Sales","Hellwagner","Yoshimitsu"
12993,"Sales","Sessa","Subhash"
12996,"Sales","Madeira","Khalil"
13007,"Sales","Frolund","Yagil"
13018,"Sales","Moehrke","Toshimi"
13028,"Sales","Siksek","Mayumi"
13033,"Sales","Jansen","Satoru"
13034,"Sales","Rosen","Arunas"
13035,"Sales","Isaac","Waiman"
13036,"Sales","Heystek","Idoia"
13037,"Sales","Schaad","Alagu"
13043,"Sales","Kobuchi","Keiichiro"
13056,"Sales","Zirintsis","Arvind"
13065,"Sales","Schiper","Zine"
13073,"Sales","Journel","Utpal"
13075,"Sales","Morrin","Rosella"
13081,"Sales","Bahi","Mandell"
13083,"Sales","Wilfing","Marek"
13093,"Sales","Unno","Sajjan"
13112,"Sales","Pouyioutas","Hiroyasu"
13115,"Sales","Comellas","Jianhua"
13117,"Sales","Masand","Arve"
13124,"Sales","Garnick","Quingbo"
13142,"Sales","Kowalchuk","Sanjiv"
13146,"Sales","Erie","Haldon"
13147,"Sales","Ginesta","Shichao"
13154,"Sales","Soicher","Shan"
13158,"Sales","Kilgore","Deborah"
13162,"Sales","Goodrum","Shaw"
13169,"Sales","Hasham","Fun"
13172,"Sales","Whittlesey","Mountaz"
13173,"Sales","Horswill","Arve"
13176,"Sales","Thiria","Pranas"
13178,"Sales","Itschner","Kankanahalli"
13179,"Sales","Janocha","Moty"
13186,"Sales","Barbanera","Kyoichi"
13187,"Sales","Pusterhofer","Maria"
13201,"Sales","Ranta","Tomofumi"
13205,"Sales","Breugel","Maja"
13210,"Sales","Klassen","Jianhua"
13212,"Sales","Boyle","Thodoros"
13213,"Sales","Billawala","Hein"
13223,"Sales","Rabejac","Koldo"
13227,"Sales","Pell","Goncalo"
13236,"Sales","Axelband","Flemming"
13238,"Sales","Foote","Ebru"
13241,"Sales","Narahari","Uta"
13243,"Sales","Huxford","Fay"
13246,"Sales","Siepmann","Adil"
13248,"Sales","Guting","Keiichiro"
13249,"Sales","Rissland","Oldrich"
13259,"Sales","Dredge","Cheong"
13261,"Sales","Peternell","Martial"
13264,"Sales","Hofting","Oguz"
13268,"Sales","Yurov","Munehiro"
13292,"Sales","Alpin","Bokyung"
13293,"Sales","Yurov","Neelam"
13303,"Sales","Rissanen","Koldo"
13305,"Sales","Herath","Bikash"
13308,"Sales","Melter","Demin"
13329,"Sales","Rissland","Ottavia"
13335,"Sales","Akaboshi","Val"
13345,"Sales","Basart","Hatsukazu"
13349,"Sales","Danner","Zeydy"
13367,"Sales","Swiler","Xumin"
13372,"Sales","Staudhammer","Valeri"
13384,"Sales","Ghemri","Nectarios"
13387,"Sales","Tzvieli","Froduald"
13392,"Sales","Beidas","Fumitake"
13403,"Sales","Diderrich","Toney"
13404,"Sales","Halevi","Luerbio"
13405,"Sales","Baba","Randy"
13410,"Sales","Rebaine","Tremaine"
13413,"Sales","Iivonen","Sanjit"
13414,"Sales","Hofstetter","Nevio"
13417,"Sales","Condotta","Dipayan"
13419,"Sales","Leivant","Bouchung"
13423,"Sales","Chartres","Giri"
13427,"Sales","Narwekar","Sreekrishna"
13428,"Sales","Kalloufi","Sanjai"
13431,"Sales","Sidje","Danco"
13432,"Sales","Armand","Masadi"
13436,"Sales","Picaronny","Mana"
13447,"Sales","Lortz","Yucel"
13449,"Sales","Coorg","Subhada"
13466,"Sales","Yoshizawa","LiMin"
13475,"Sales","Piancastelli","Kamakshi"
13477,"Sales","Karlin","Reuven"
13479,"Sales","Besselaar","Youjian"
13489,"Sales","Itschner","Fumino"
13491,"Sales","Halevi","Xiaocheng"
13496,"Sales","Lortz","Dipankar"
13498,"Sales","Delaune","Mohammad"
13501,"Sales","Peek","Caolyn"
13503,"Sales","Milicia","Renee"
13513,"Sales","Kitsuregawa","Atilio"
13515,"Sales","Kisuki","Sachin"
13519,"Sales","Cardazo","Kristin"
13524,"Sales","Porotnikoff","Chaoyi"
13528,"Sales","Liesche","Fumitaka"
13529,"Sales","Matzen","Toshimori"
13540,"Sales","Krohn","Cordelia"
13542,"Sales","Budinsky","Fun"
13543,"Sales","Garigliano","Tua"
13544,"Sales","Sullins","Beshir"
13551,"Sales","Ducloy","Shuichi"
13553,"Sales","Cusworth","Masato"
13555,"Sales","Matteis","Lijia"
13559,"Sales","Yurek","Etsuo"
13564,"Sales","Manderick","Jongsuk"
13577,"Sales","Penttonen","Tianruo"
13588,"Sales","Dahlbom","Xuejia"
13599,"Sales","Versino","Gor"
13602,"Sales","Bazelow","Kirk"
13604,"Sales","Stille","Tzu"
13605,"Sales","Encarnacion","Dmitry"
13606,"Sales","Feldmann","Tuval"
13607,"Sales","Rusmann","Khedija"
13608,"Sales","Ducloy","Charmane"
13618,"Sales","Ferretti","Xiaoqiang"
13622,"Sales","Juneja","Tamiya"
13632,"Sales","Brattka","Teiji"
13650,"Sales","Chepyzhov","Shaowei"
13656,"Sales","Ferretti","Oldrich"
13660,"Sales","McConalogue","Ziya"
13661,"Sales","Kobara","Marsal"
13672,"Sales","Desikan","Tremaine"
13676,"Sales","Avouris","Gadiel"
13680,"Sales","Speer","Denny"
13684,"Sales","Christ","Elvia"
13690,"Sales","Osgood","Constantino"
13691,"Sales","Schnelling","Sandeepan"
13692,"Sales","Kisuki","Yongdong"
13700,"Sales","Weedon","Mingdong"
13709,"Sales","Brendel","Mamdouh"
13715,"Sales","Range","Licheng"
13718,"Sales","Gronowski","Lein"
13720,"Sales","Braccini","Rildo"
13721,"Sales","Delgrossi","Sugwoo"
13723,"Sales","Schnelling","Magy"
13736,"Sales","Albarhamtoshy","Pranas"
13747,"Sales","Capobianchi","Masaru"
13752,"Sales","Otillio","Kwangho"
13754,"Sales","Bahr","Jongsuk"
13758,"Sales","Sidou","Subhrajyoti"
13762,"Sales","Choobineh","Fumino"
13763,"Sales","Tsukune","Etsuo"
13764,"Sales","Usery","Demin"
13769,"Sales","Trogemann","Yakichi"
13770,"Sales","Koyama","Eirik"
13775,"Sales","Maierhofer","Arve"
13784,"Sales","Ranst","Surveyors"
13785,"Sales","Legleitner","Shietung"
13786,"Sales","Berendt","Takushi"
13790,"Sales","DiGiano","Hongzue"
13801,"Sales","Mayerwieser","Shih"
13805,"Sales","Veldwijk","Barry"
13808,"Sales","Stentiford","Becky"
13812,"Sales","Sury","Fumiko"
13836,"Sales","Przulj","Taiji"
13845,"Sales","Ritcey","Alejandro"
13848,"Sales","Wallrath","Jianhao"
13856,"Sales","Conta","Xiping"
13863,"Sales","Baig","Reinhard"
